title,author,year,publisher,image_url_m,isbn
Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc,http://images.amazon.com/images/P/002542730X.01.MZZZZZZZ.jpg,002542730Xa
Vegetarian Times Complete Cookbook,Lucy  Moll,1995,John Wiley &amp; Sons,http://images.amazon.com/images/P/0026217457.01.MZZZZZZZ.jpg,26217457a
Pioneers,James Fenimore Cooper,1974,Thomson Learning,http://images.amazon.com/images/P/003008685X.01.MZZZZZZZ.jpg,003008685Xa
"Ask for May, Settle for June (A Doonesbury book)",G. B. Trudeau,1982,Henry Holt &amp; Co,http://images.amazon.com/images/P/0030615321.01.MZZZZZZZ.jpg,30615321a
On a Wicked Dawn (Cynster Novels),Stephanie Laurens,2002,Avon Books,http://images.amazon.com/images/P/0060002050.01.MZZZZZZZ.jpg,60002050a
"On Writing Well, 25th Anniversary : The Classic Guide to Writing Nonfiction (On Writing Well)",William Zinsser,2001,HarperResource,http://images.amazon.com/images/P/0060006641.01.MZZZZZZZ.jpg,60006641a
The World of Jeeves,P.G. Wodehouse,1989,HarperCollins Publishers,http://images.amazon.com/images/P/0060159685.01.MZZZZZZZ.jpg,60159685a
Finding Moon,Tony Hillerman,1995,Harpercollins,http://images.amazon.com/images/P/0060177721.01.MZZZZZZZ.jpg,60177721a
"Beauty Fades, Dumb Is Forever: The Making of a Happy Woman",Judy Sheindlin,1999,Cliff Street Books,http://images.amazon.com/images/P/0060192704.01.MZZZZZZZ.jpg,60192704a
When the Storm Breaks,Heather Lowell,2003,HarperTorch,http://images.amazon.com/images/P/0060542128.01.MZZZZZZZ.jpg,60542128a
In Country RI,Bobbie Ann Mason,1986,Perennial,http://images.amazon.com/images/P/0060913509.01.MZZZZZZZ.jpg,60913509a
A Home For The Heart: A Practical Guide to Intimate and Social Relationships,Charlotte Sophia Kasl,1998,Perennial,http://images.amazon.com/images/P/0060929197.01.MZZZZZZZ.jpg,60929197a
A Tree Grows in Brooklyn,Betty Smith,1998,Perennial,http://images.amazon.com/images/P/006092988X.01.MZZZZZZZ.jpg,006092988Xa
The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,Perennial,http://images.amazon.com/images/P/0060930535.01.MZZZZZZZ.jpg,60930535a
The Unbearable Lightness of Being : A Novel (Perennial Classics),Milan Kundera,1999,Perennial,http://images.amazon.com/images/P/0060932139.01.MZZZZZZZ.jpg,60932139a
Bel Canto: A Novel,Ann Patchett,2002,Perennial,http://images.amazon.com/images/P/0060934417.01.MZZZZZZZ.jpg,60934417a
Don't Panic Revised Edition : Taking Control of Anxiety Attacks,R. Reid Wilson,1996,Perennial Currents,http://images.amazon.com/images/P/0060951605.01.MZZZZZZZ.jpg,60951605a
Crazymaker,Thomas J. O'Donnell,1992,Harper Mass Market Paperbacks,http://images.amazon.com/images/P/0061004251.01.MZZZZZZZ.jpg,61004251a
One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch,http://images.amazon.com/images/P/0061009059.01.MZZZZZZZ.jpg,61009059a
Long Time No See,Susan Isaacs,2002,HarperTorch,http://images.amazon.com/images/P/0061030430.01.MZZZZZZZ.jpg,61030430a
The Woman's Comfort Book : A Self-Nurturing Guide for Restoring Balance in Your Life,Jennifer Louden,1992,HarperSanFrancisco,http://images.amazon.com/images/P/0062505319.01.MZZZZZZZ.jpg,62505319a
Inner Bonding: Becoming a Loving Adult to Your Inner Child,Margaret Paul,1992,HarperSanFrancisco,http://images.amazon.com/images/P/0062507109.01.MZZZZZZZ.jpg,62507109a
